사번,구분,이름,영문이름,근무지,부서,팀,직급,직책,입사일,근속일,주민등록번호,생년월일,연락처,비상연락망,회사이메일,개인이메일,주소,최종학력,학위,학교,전공,학점,입사구분,경력사항1,경력사항2,경력사항3,경력사항4,경력사항5,자격사항1,자격사항2,자격사항3,자격사항4,자격사항5,어학사항1,어학사항2,어학사항3,어학사항4,어학사항5,재직or퇴직
1,대학생,test1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,재직
2,대학생,test2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,재직
3,대학생,test3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,재직
4,대학생,test4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,재직
5,대학생,test5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,재직
6,대학생,test6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,재직
7,대학생,test7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,재직
8,대학생,test8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,재직
9,대학생,test9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,재직
10,대학생,test10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,재직
11,대학생,test11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,재직
12,대학생,test12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,재직
